danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.638,0.919,1,-7.974,0,0.0485,0.0118,0.802,0.123,0.699,130.048,audio_features,4lEkWLEF4MRTJE03dCF2O9,spotify:track:4lEkWLEF4MRTJE03dCF2O9,https://api.spotify.com/v1/tracks/4lEkWLEF4MRTJE03dCF2O9,https://api.spotify.com/v1/audio-analysis/4lEkWLEF4MRTJE03dCF2O9,291721,4
0.712,0.728,5,-7.573,0,0.0363,0.00666,0.606,0.333,0.887,135.005,audio_features,6hDBRaFEeIgJYmJBWoUefy,spotify:track:6hDBRaFEeIgJYmJBWoUefy,https://api.spotify.com/v1/tracks/6hDBRaFEeIgJYmJBWoUefy,https://api.spotify.com/v1/audio-analysis/6hDBRaFEeIgJYmJBWoUefy,201821,4
0.641,0.433,7,-13.758,0,0.0545,0.000533,0.846,0.182,0.313,109.991,audio_features,23Nk2Wu1FRdVrRoklXZtCA,spotify:track:23Nk2Wu1FRdVrRoklXZtCA,https://api.spotify.com/v1/tracks/23Nk2Wu1FRdVrRoklXZtCA,https://api.spotify.com/v1/audio-analysis/23Nk2Wu1FRdVrRoklXZtCA,214153,4
0.6,0.781,7,-8.399,0,0.109,0.429,0.000188,0.22,0.847,106.295,audio_features,3qNtGvCC1tgeZFK9ClBz4k,spotify:track:3qNtGvCC1tgeZFK9ClBz4k,https://api.spotify.com/v1/tracks/3qNtGvCC1tgeZFK9ClBz4k,https://api.spotify.com/v1/audio-analysis/3qNtGvCC1tgeZFK9ClBz4k,174349,4
0.453,0.312,4,-12.617,0,0.0334,0.575,3.25e-06,0.121,0.733,141.315,audio_features,3a19dv4IRhGjkyvgdUxEDu,spotify:track:3a19dv4IRhGjkyvgdUxEDu,https://api.spotify.com/v1/tracks/3a19dv4IRhGjkyvgdUxEDu,https://api.spotify.com/v1/audio-analysis/3a19dv4IRhGjkyvgdUxEDu,142747,4
0.569,0.556,4,-10.377,0,0.22,0.289,0.857,0.109,0.48,99.993,audio_features,50C8WRmilCAYTxCRaIqz3q,spotify:track:50C8WRmilCAYTxCRaIqz3q,https://api.spotify.com/v1/tracks/50C8WRmilCAYTxCRaIqz3q,https://api.spotify.com/v1/audio-analysis/50C8WRmilCAYTxCRaIqz3q,314769,4
0.531,0.649,9,-9.358,0,0.0539,0.121,0.0035,0.0769,0.7,115.53,audio_features,7CrdlbRadEBmd16KQWt4xf,spotify:track:7CrdlbRadEBmd16KQWt4xf,https://api.spotify.com/v1/tracks/7CrdlbRadEBmd16KQWt4xf,https://api.spotify.com/v1/audio-analysis/7CrdlbRadEBmd16KQWt4xf,315427,4
0.618,0.576,4,-14.552,1,0.0351,0.825,0.37,0.113,0.581,99.873,audio_features,4lVuGztR7cgu1yCPiTPZRY,spotify:track:4lVuGztR7cgu1yCPiTPZRY,https://api.spotify.com/v1/tracks/4lVuGztR7cgu1yCPiTPZRY,https://api.spotify.com/v1/audio-analysis/4lVuGztR7cgu1yCPiTPZRY,422240,4
0.804,0.881,0,-4.369,1,0.0389,0.0856,0.0384,0.0522,0.96,120.067,audio_features,7zUkx37JJ7iz3ru4Y7Zd26,spotify:track:7zUkx37JJ7iz3ru4Y7Zd26,https://api.spotify.com/v1/tracks/7zUkx37JJ7iz3ru4Y7Zd26,https://api.spotify.com/v1/audio-analysis/7zUkx37JJ7iz3ru4Y7Zd26,340733,4
0.608,0.703,11,-6.967,0,0.0509,0.0815,0.221,0.115,0.593,136.894,audio_features,6wPXCLMgpEZIt7TNTURGKe,spotify:track:6wPXCLMgpEZIt7TNTURGKe,https://api.spotify.com/v1/tracks/6wPXCLMgpEZIt7TNTURGKe,https://api.spotify.com/v1/audio-analysis/6wPXCLMgpEZIt7TNTURGKe,156811,4
0.342,0.786,4,-2.546,0,0.0441,0.0261,0.000112,0.0792,0.467,141.751,audio_features,7DHlJLCXFlny3WhjnEL9qY,spotify:track:7DHlJLCXFlny3WhjnEL9qY,https://api.spotify.com/v1/tracks/7DHlJLCXFlny3WhjnEL9qY,https://api.spotify.com/v1/audio-analysis/7DHlJLCXFlny3WhjnEL9qY,147986,4
0.73,0.663,6,-10.158,0,0.0478,0.0042,0.327,0.181,0.77,121.029,audio_features,4cVGwZtSwk0yHCXbTQ70yW,spotify:track:4cVGwZtSwk0yHCXbTQ70yW,https://api.spotify.com/v1/tracks/4cVGwZtSwk0yHCXbTQ70yW,https://api.spotify.com/v1/audio-analysis/4cVGwZtSwk0yHCXbTQ70yW,402169,4
0.279,0.823,9,-11.29,0,0.3,0.211,0.773,0.115,0.099,66.778,audio_features,77L9EJrrIvWq1igybxZDG8,spotify:track:77L9EJrrIvWq1igybxZDG8,https://api.spotify.com/v1/tracks/77L9EJrrIvWq1igybxZDG8,https://api.spotify.com/v1/audio-analysis/77L9EJrrIvWq1igybxZDG8,376048,4
0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.524,audio_features,3BQHpFgAp4l80e1XslIjNI,spotify:track:3BQHpFgAp4l80e1XslIjNI,https://api.spotify.com/v1/tracks/3BQHpFgAp4l80e1XslIjNI,https://api.spotify.com/v1/audio-analysis/3BQHpFgAp4l80e1XslIjNI,125667,4
0.466,0.439,5,-8.892,0,0.0325,0.741,1.64e-05,0.0707,0.289,107.173,audio_features,53Mz9H5UvWMQUXHZnaZYKQ,spotify:track:53Mz9H5UvWMQUXHZnaZYKQ,https://api.spotify.com/v1/tracks/53Mz9H5UvWMQUXHZnaZYKQ,https://api.spotify.com/v1/audio-analysis/53Mz9H5UvWMQUXHZnaZYKQ,209933,4
0.618,0.439,9,-14.852,0,0.0305,0.336,0.0204,0.0786,0.905,94.84,audio_features,5ckd7dqUqpNYSGevyb5yDv,spotify:track:5ckd7dqUqpNYSGevyb5yDv,https://api.spotify.com/v1/tracks/5ckd7dqUqpNYSGevyb5yDv,https://api.spotify.com/v1/audio-analysis/5ckd7dqUqpNYSGevyb5yDv,214310,4
0.533,0.783,7,-10.61,1,0.0366,0.0116,0.0565,0.186,0.726,124.874,audio_features,07ABETRdek3ACMpRPvQuaT,spotify:track:07ABETRdek3ACMpRPvQuaT,https://api.spotify.com/v1/tracks/07ABETRdek3ACMpRPvQuaT,https://api.spotify.com/v1/audio-analysis/07ABETRdek3ACMpRPvQuaT,234907,4
0.779,0.635,2,-8.028,0,0.0282,0.577,0.000258,0.215,0.53,108.018,audio_features,2FHnN5ELL83TGbtXMDzoiJ,spotify:track:2FHnN5ELL83TGbtXMDzoiJ,https://api.spotify.com/v1/tracks/2FHnN5ELL83TGbtXMDzoiJ,https://api.spotify.com/v1/audio-analysis/2FHnN5ELL83TGbtXMDzoiJ,291720,4
0.664,0.589,0,-14.415,1,0.0406,0.259,0.00587,0.221,0.54,102.74,audio_features,2JvPJ8ydPuN2NhpH4oti6I,spotify:track:2JvPJ8ydPuN2NhpH4oti6I,https://api.spotify.com/v1/tracks/2JvPJ8ydPuN2NhpH4oti6I,https://api.spotify.com/v1/audio-analysis/2JvPJ8ydPuN2NhpH4oti6I,240800,4
0.644,0.714,0,-11.219,1,0.0373,0.329,6.81e-06,0.0613,0.717,94.623,audio_features,7wCabI9ZagFGhrmfbjyCg8,spotify:track:7wCabI9ZagFGhrmfbjyCg8,https://api.spotify.com/v1/tracks/7wCabI9ZagFGhrmfbjyCg8,https://api.spotify.com/v1/audio-analysis/7wCabI9ZagFGhrmfbjyCg8,233613,4
0.669,0.795,2,-10.865,1,0.0285,0.00772,0.0781,0.401,0.882,124.594,audio_features,53r0Y3ilw2mSSkimYbEBzt,spotify:track:53r0Y3ilw2mSSkimYbEBzt,https://api.spotify.com/v1/tracks/53r0Y3ilw2mSSkimYbEBzt,https://api.spotify.com/v1/audio-analysis/53r0Y3ilw2mSSkimYbEBzt,201187,4
0.698,0.669,0,-9.26,1,0.0259,0.0172,9.46e-06,0.115,0.86,103.926,audio_features,15AHfts5m8MKU0s5dve965,spotify:track:15AHfts5m8MKU0s5dve965,https://api.spotify.com/v1/tracks/15AHfts5m8MKU0s5dve965,https://api.spotify.com/v1/audio-analysis/15AHfts5m8MKU0s5dve965,251467,4
0.709,0.699,10,-11.905,0,0.0466,0.0291,0.295,0.0673,0.592,125.377,audio_features,0hOA8SoraNo2ZP1amtVYnY,spotify:track:0hOA8SoraNo2ZP1amtVYnY,https://api.spotify.com/v1/tracks/0hOA8SoraNo2ZP1amtVYnY,https://api.spotify.com/v1/audio-analysis/0hOA8SoraNo2ZP1amtVYnY,223733,4
0.48,0.71,8,-7.201,0,0.0632,0.354,0.226,0.399,0.33,79.969,audio_features,485jmtut82CHasYYEMqVzL,spotify:track:485jmtut82CHasYYEMqVzL,https://api.spotify.com/v1/tracks/485jmtut82CHasYYEMqVzL,https://api.spotify.com/v1/audio-analysis/485jmtut82CHasYYEMqVzL,244985,4
0.644,0.673,5,-6.58,1,0.0716,0.0193,0.0328,0.121,0.717,160.045,audio_features,1yiLwdxz2gVjksCwQI7yjN,spotify:track:1yiLwdxz2gVjksCwQI7yjN,https://api.spotify.com/v1/tracks/1yiLwdxz2gVjksCwQI7yjN,https://api.spotify.com/v1/audio-analysis/1yiLwdxz2gVjksCwQI7yjN,247471,4
